Buffer,Experiment.Block,Concentration,Seawater.Percent,Light,Time,Replicate,Tech.Rep.,HOOH,OriSource
Control,B,0,50,65,21,3,1,196.9679802,Morris_2013_f1b
Control,B,0,25,65,21,1,1,92.98398859,Morris_2013_f1b
Control,B,0,25,65,21,2,1,153.3163315,Morris_2013_f1b
Control,B,0,25,65,21,3,1,145.3059284,Morris_2013_f1b
Control,B,0,0,65,21,1,1,192.5410876,Morris_2013_f1b
Control,B,0,0,65,21,2,1,172.3828336,Morris_2013_f1b
Control,B,0,0,65,21,3,1,180.9149282,Morris_2013_f1b
HEPES,B,10,100,65,21,1,1,4548.024916,Morris_2013_f1b
HEPES,B,10,100,65,21,2,1,4440.110772,Morris_2013_f1b
HEPES,B,10,100,65,21,3,1,4132.647494,Morris_2013_f1b
HEPES,B,10,75,65,21,1,1,3630.459291,Morris_2013_f1b
HEPES,B,10,75,65,21,2,1,3702.494185,Morris_2013_f1b
HEPES,B,10,75,65,21,3,1,3771.258046,Morris_2013_f1b
HEPES,B,10,50,65,21,1,1,2290.37379,Morris_2013_f1b
HEPES,B,10,50,65,21,2,1,2657.592824,Morris_2013_f1b
HEPES,B,10,50,65,21,3,1,2554.606534,Morris_2013_f1b
HEPES,B,10,25,65,21,1,1,1537.093404,Morris_2013_f1b
HEPES,B,10,25,65,21,2,1,1640.01789,Morris_2013_f1b
HEPES,B,10,25,65,21,3,1,1548.653537,Morris_2013_f1b
HEPES,B,10,0,65,21,1,1,420.8934295,Morris_2013_f1b
HEPES,B,10,0,65,21,2,1,490.338676,Morris_2013_f1b
HEPES,B,10,0,65,21,3,1,514.643207,Morris_2013_f1b
HEPES,B,10,100,65,26,1,1,4490.141555,Morris_2013_f1b
HEPES,B,10,100,65,26,2,1,4568.055109,Morris_2013_f1b
HEPES,B,10,100,65,26,3,1,4287.395874,Morris_2013_f1b
HEPES,B,10,75,65,26,1,1,3843.928558,Morris_2013_f1b
HEPES,B,10,75,65,26,2,1,3799.192575,Morris_2013_f1b
HEPES,B,10,75,65,26,3,1,3951.66768,Morris_2013_f1b
HEPES,B,10,50,65,26,1,1,2396.137463,Morris_2013_f1b
HEPES,B,10,50,65,26,2,1,2678.41194,Morris_2013_f1b
HEPES,B,10,50,65,26,3,1,2630.076972,Morris_2013_f1b
HEPES,B,10,25,65,26,1,1,1456.097099,Morris_2013_f1b
HEPES,B,10,25,65,26,2,1,1681.271136,Morris_2013_f1b
HEPES,B,10,25,65,26,3,1,1569.691967,Morris_2013_f1b
HEPES,B,10,0,65,26,1,1,315.6151616,Morris_2013_f1b
HEPES,B,10,0,65,26,2,1,485.3738348,Morris_2013_f1b
HEPES,B,10,0,65,26,3,1,545.9892225,Morris_2013_f1b
HEPES,B,10,100,65,35,1,1,5624.55977,Morris_2013_f1b
HEPES,B,10,100,65,35,2,1,5439.842609,Morris_2013_f1b
HEPES,B,10,100,65,35,3,1,5148.873218,Morris_2013_f1b
HEPES,B,10,75,65,35,1,1,4820.039091,Morris_2013_f1b
HEPES,B,10,75,65,35,2,1,4701.111727,Morris_2013_f1b
HEPES,B,10,75,65,35,3,1,4825.318459,Morris_2013_f1b
HEPES,B,10,50,65,35,1,1,3408.729052,Morris_2013_f1b
HEPES,B,10,50,65,35,2,1,3583.624173,Morris_2013_f1b
HEPES,B,10,50,65,35,3,1,3413.191912,Morris_2013_f1b
HEPES,B,10,25,65,35,1,1,2227.002476,Morris_2013_f1b
HEPES,B,10,25,65,35,2,1,2381.357544,Morris_2013_f1b
HEPES,B,10,25,65,35,3,1,2283.422037,Morris_2013_f1b
HEPES,B,10,0,65,35,1,1,633.2568488,Morris_2013_f1b
HEPES,B,10,0,65,35,2,1,825.2746952,Morris_2013_f1b
HEPES,B,10,0,65,35,3,1,827.8304036,Morris_2013_f1b
